School Code,Playing Years,Playing Often,Playing Hours,Parent Revenue,Father Education,Mother Education,Grade
2,1,2,1,1,4,2,65.5
2,3,1,5,2,2,2,50
2,0,0,0,2,4,2,90.8
2,2,3,2,3,4,4,86.7
2,2,3,2,1,4,2,70
2,1,5,2,2,2,3,75
2,2,2,2,2,3,3,60
2,1,1,2,3,3,3,63
3,0,0,0,2,2,2,80
3,1,5,2,3,4,4,74
3,0,0,0,3,6,4,85
3,0,0,0,2,4,3,87
3,0,0,0,4,3,3,65
3,0,0,0,2,4,2,68
3,0,0,0,2,5,5,70
3,0,0,0,3,4,3,75
3,4,1,2,1,2,2,55
3,1,2,1,1,4,3,55
3,2,4,3,2,3,3,50
3,0,0,0,2,4,4,80
3,0,0,0,3,4,4,90
3,4,3,2,3,4,3,50
3,0,0,0,2,4,2,90
3,0,0,0,3,6,4,86
3,0,0,0,2,3,2,65
3,1,2,2,3,3,3,45
3,1,3,1,2,4,4,50
3,0,0,0,2,4,3,85
3,0,0,0,2,3,3,65
3,0,0,0,2,3,3,85
3,2,3,3,3,2,2,70
3,2,3,2,2,3,3,67
3,0,0,0,3,3,2,88
3,0,0,0,1,4,2,70
3,0,0,0,1,4,4,65
3,3,4,3,1,3,3,60
3,2,3,1,2,3,3,85
3,3,1,3,1,5,4,75
3,1,5,2,1,2,2,60
3,0,0,0,2,1,3,65
3,2,4,2,1,2,2,70
3,0,0,0,1,2,3,65
3,0,0,0,2,5,3,60
3,3,2,1,1,5,4,50
3,0,0,0,3,3,2,50
3,0,0,0,2,4,3,86
3,4,1,4,2,2,2,55
3,0,0,0,2,2,3,59
3,0,0,0,1,2,2,55
3,1,5,2,2,4,4,88
3,3,3,2,1,4,3,55
3,1,2,1,1,2,4,60
3,1,3,3,2,4,4,100
3,1,2,1,1,3,1,65
3,3,3,2,2,5,4,70
3,1,5,2,2,3,1,65
3,1,4,3,3,5,3,65
3,3,3,1,2,4,5,50
3,1,5,1,1,1,2,70
3,2,5,1,2,4,4,90
3,2,2,1,2,5,4,90
3,1,4,2,1,3,4,70
3,1,2,1,2,3,2,65
3,4,1,3,2,5,3,75
3,2,3,1,2,4,4,80
3,1,3,1,1,4,1,65
3,0,0,0,1,2,2,92.6
3,0,0,0,2,3,1,50
3,1,3,1,1,3,3,53
3,1,5,1,2,4,2,90
3,1,5,2,2,3,3,80
3,3,4,3,1,3,3,50
3,1,5,1,2,2,3,75
3,4,3,3,2,2,2,75
4,3,5,2,3,5,6,90
4,0,0,0,2,3,4,70
4,0,0,0,2,4,3,85
4,0,0,0,2,2,2,77.5
4,4,3,3,4,4,4,80
4,0,0,0,1,3,3,60
4,1,2,2,1,2,2,72
4,0,0,0,2,5,3,80
4,0,0,0,3,4,5,80
4,0,0,0,2,3,4,70
4,0,0,0,2,4,4,89
4,0,0,0,3,3,2,80
4,0,0,0,1,3,3,70
4,1,4,1,4,3,4,75
4,0,0,0,3,5,4,87
4,0,0,0,1,3,2,70
4,0,0,0,1,4,5,85
4,3,2,2,2,4,4,85
4,2,4,2,2,6,5,75
4,4,1,4,3,4,4,98
4,4,2,1,3,4,3,99
4,4,1,1,2,5,5,87
4,2,1,2,2,2,4,82
4,4,3,3,2,4,4,70
4,1,1,3,1,4,4,50
4,3,5,5,2,3,2,60
4,3,1,5,4,3,3,70
4,1,2,2,1,2,2,42.5
4,1,2,1,2,5,5,76
4,1,2,3,3,5,3,92.5
4,1,4,1,2,4,4,40
4,4,1,2,3,3,4,60
4,4,3,3,1,3,3,70
4,2,2,2,1,3,3,60
4,4,1,4,2,3,4,90
4,0,0,0,1,4,2,50
4,1,1,2,2,4,4,50
4,3,5,2,3,6,4,80.5
4,1,5,2,1,2,2,75
4,2,5,3,3,6,5,99
4,4,1,5,4,5,4,83.5
4,1,5,1,3,4,5,75
4,2,2,1,3,4,4,70
4,1,5,1,1,3,1,50.6
4,4,1,5,2,5,3,70
4,1,3,2,1,3,4,53
4,1,5,1,3,5,4,97.5
4,4,5,1,2,2,3,67
4,4,5,5,2,4,4,88
4,1,5,1,2,4,3,90
4,0,0,0,2,4,5,90
4,1,3,2,1,5,2,50
4,1,5,3,2,5,4,89
4,3,1,2,3,5,3,95
4,4,1,3,2,3,4,75
4,2,1,2,2,3,4,60
4,2,3,1,3,4,5,98
4,1,5,1,2,4,4,95
4,4,5,3,3,5,5,91
4,2,5,2,3,4,4,55
4,2,5,1,3,5,4,89.5
4,1,5,1,3,3,3,90
4,3,3,2,3,4,2,55.5
4,2,5,2,2,4,4,75
4,1,5,2,3,6,6,92.5
4,4,5,2,2,3,4,93
4,1,3,2,2,5,3,93
4,3,1,4,2,5,5,80
4,4,1,4,2,4,4,50
4,0,0,0,1,4,4,62
4,1,5,1,2,4,4,96.5
4,2,4,2,2,4,4,50
4,0,0,0,1,3,3,55
4,3,4,2,3,5,4,75
4,0,0,0,3,5,4,86
4,3,1,2,3,5,4,52
4,0,0,0,2,4,4,85
4,4,3,1,4,3,4,80
4,1,3,2,1,2,4,62
4,3,1,1,2,5,5,62
4,1,1,2,2,3,3,40
4,2,5,4,2,2,4,80
4,0,0,0,3,4,2,75
4,1,3,2,3,5,4,68
4,3,3,2,3,2,2,88
4,1,1,3,2,4,4,56
4,1,3,1,2,3,3,67.2
4,0,0,0,4,4,4,76
4,0,0,0,1,4,4,70
4,3,1,3,2,4,2,60
4,1,4,1,2,5,3,42.5
4,1,5,2,2,5,4,80
4,0,0,0,3,4,4,97
4,0,0,0,2,4,4,75
4,0,0,0,2,4,4,92..00
4,4,4,2,3,3,3,85
4,1,5,1,2,6,4,90
4,2,2,1,1,4,3,85
4,0,0,0,1,3,2,70
4,2,3,2,2,3,1,43
4,0,0,0,2,5,3,85
4,1,3,3,2,4,4,85
4,2,5,2,2,3,3,65
4,2,1,3,2,3,3,70
4,2,3,1,3,4,5,75
4,1,3,2,2,2,3,55
4,1,1,2,3,5,5,68
4,4,5,4,4,4,4,95
4,3,5,2,4,5,5,95
4,0,0,0,2,5,4,59.69
4,4,3,3,1,5,4,85
4,4,1,3,2,4,3,65
4,1,3,3,3,4,4,45
4,0,0,0,2,4,5,87.5
4,1,5,1,2,3,4,88
4,4,1,4,2,5,3,40
4,0,0,0,2,5,4,77
4,2,3,2,3,4,4,71
4,0,0,0,2,4,3,75
4,0,0,0,4,6,6,90
4,3,3,3,2,3,3,65
4,1,3,2,2,4,3,65
5,4,1,3,3,5,4,100
5,2,5,2,4,5,3,100
5,2,4,2,3,4,2,100
5,2,4,3,4,2,4,100
5,3,4,1,2,4,4,90.5
5,0,0,0,3,3,4,100
5,4,1,5,1,4,3,80
5,2,1,2,2,5,3,85
5,1,5,1,4,6,6,100
5,1,3,1,3,5,3,100
5,2,3,3,4,4,4,100
5,2,5,3,3,4,3,85
5,3,4,1,4,4,4,90
5,0,0,0,3,4,5,85
5,4,1,4,3,4,4,100
5,4,2,3,4,5,3,80
5,0,0,0,4,4,4,90
5,3,3,2,2,3,3,100
5,1,2,1,3,4,4,96.5
5,2,4,3,3,4,4,85
5,0,0,0,2,5,4,100
5,0,0,0,2,4,4,100
5,0,0,0,3,6,5,98
5,3,5,2,4,6,5,100
5,3,1,4,2,4,3,92
5,4,4,2,2,5,4,90
5,3,3,1,3,4,4,85
5,1,5,2,4,5,4,85
5,0,0,0,2,5,4,100
5,1,3,2,2,5,5,72.5
5,3,3,2,4,4,4,85
6,1,5,2,4,4,4,100
6,2,1,2,4,5,5,100
6,1,4,1,4,2,2,100
6,4,5,5,4,3,3,85
6,0,0,0,3,2,4,100
6,2,3,1,2,3,3,75
6,2,5,2,4,2,2,100
6,3,5,3,4,0,6,100
